Day,Top 15 recommended stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/28,4.73,4.74,-0.01,-0.21%,4.72,4.77,109876,5210.88,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/29,4.74,4.76,0.02,0.42%,4.73,4.79,176563,8402.52,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/2,4.81,4.77,0.01,0.21%,4.75,4.84,301586,14474.21,0.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/3,4.74,4.8,0.03,0.63%,4.73,4.8,238922,11391.54,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/4,4.78,4.8,0,0.00%,4.77,4.8,168982,8091.55,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/5,4.8,4.84,0.04,0.83%,4.79,4.85,335195,16186.18,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/6,4.85,4.85,0.01,0.21%,4.81,4.86,246329,11920.17,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/9,4.85,4.86,0.01,0.21%,4.83,4.87,238695,11592.79,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/10,4.85,4.84,-0.02,-0.41%,4.83,4.86,165229,8000.68,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/11,4.85,4.84,0,0.00%,4.81,4.88,267439,12944.83,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/12,4.84,4.79,-0.05,-1.03%,4.78,4.84,219326,10540.46,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/13,4.82,4.92,0.13,2.71%,4.82,4.97,1071422,52340.96,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/16,4.91,4.94,0.02,0.41%,4.87,4.97,801764,39419.67,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/17,4.94,5.06,0.12,2.43%,4.92,5.17,1446582,73154.35,0.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/18,5.03,5.07,0.01,0.20%,5.02,5.13,881129,44685.37,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/19,5.05,5.04,-0.03,-0.59%,5,5.07,553297,27848.12,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/20,5.03,5.06,0.02,0.40%,5.02,5.13,985105,50018.47,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/23,5.05,4.91,-0.15,-2.96%,4.89,5.09,774421,38737.4,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/24,4.92,4.95,0.04,0.81%,4.9,4.96,310733,15312.87,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/25,4.93,4.94,-0.01,-0.20%,4.91,4.99,387916,19179.28,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/26,4.95,5.01,0.07,1.42%,4.93,5.02,626689,31128.04,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/27,5,4.94,-0.07,-1.40%,4.92,5.07,796787,39829.43,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/30,4.93,5.14,0.2,4.05%,4.91,5.16,1563711,79537.88,0.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/31,5.12,5.12,-0.02,-0.39%,5.07,5.16,1000310,51199.55,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/23,3.66,3.75,0.09,2.46%,3.62,3.84,4746760,176674.44,1.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/24,3.71,3.71,-0.04,-1.07%,3.69,3.75,2841404,105625.65,0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/25,3.72,3.7,-0.01,-0.27%,3.65,3.72,2399926,88456.5,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/28,3.71,3.74,0.04,1.08%,3.69,3.74,3186204,118494.31,0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/29,3.73,3.66,-0.08,-2.14%,3.65,3.73,2554806,94087.14,0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/30,3.65,3.64,-0.02,-0.55%,3.6,3.66,2160268,78337.23,0.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/10/31,3.59,3.57,-0.07,-1.92%,3.54,3.59,3802808,135560.55,1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/1,3.56,3.59,0.02,0.56%,3.54,3.61,2037926,73011.62,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/4,3.6,3.6,0.01,0.28%,3.59,3.64,2103383,75931.43,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/5,3.6,3.61,0.01,0.28%,3.56,3.62,2414226,86808.66,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/6,3.62,3.6,-0.01,-0.28%,3.59,3.63,2199983,79431.83,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/7,3.59,3.68,0.08,2.22%,3.58,3.68,4663752,170237.2,1.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/8,3.7,3.63,-0.05,-1.36%,3.63,3.71,2677707,97888.66,0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/11,3.61,3.56,-0.07,-1.93%,3.55,3.61,2935350,104689.39,0.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/12,3.58,3.66,0.1,2.81%,3.58,3.66,4487384,162636.5,1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/13,3.65,3.64,-0.02,-0.55%,3.61,3.66,2345922,85273.41,0.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/14,3.63,3.76,0.12,3.30%,3.62,3.79,8837144,330833.88,2.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/15,3.75,3.69,-0.07,-1.86%,3.68,3.8,5371237,200746.66,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/18,3.73,3.72,0.03,0.81%,3.69,3.78,4860197,181588.56,1.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/19,3.7,3.73,0.01,0.27%,3.66,3.74,3650471,134824.66,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/20,3.71,3.66,-0.07,-1.88%,3.65,3.72,2911604,107057.33,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/21,3.63,3.67,0.01,0.27%,3.62,3.7,2907924,106774.35,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/22,3.66,3.65,-0.02,-0.54%,3.63,3.72,3304662,121288.88,0.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/25,3.65,3.71,0.06,1.64%,3.61,3.72,4133553,152203,1.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/26,3.74,3.86,0.15,4.04%,3.74,3.95,12811643,494147.38,3.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/27,3.83,3.89,0.03,0.78%,3.81,3.91,6601092,255736.98,1.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/28,3.88,3.84,-0.05,-1.29%,3.83,3.94,4793226,186072.45,1.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/11/29,3.84,3.9,0.06,1.56%,3.84,3.95,6988086,272773.31,2.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/2,3.94,3.89,-0.01,-0.26%,3.87,3.95,4365314,170395.08,1.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/3,3.86,3.96,0.07,1.80%,3.85,3.96,7094610,278862.81,2.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/4,3.95,4.04,0.08,2.02%,3.93,4.11,11901622,481583.88,3.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/5,4.04,4.04,0,0.00%,3.99,4.08,7515706,303320.66,2.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/6,4.04,4.07,0.03,0.74%,4.03,4.12,6892644,281097.06,2.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/9,4.13,4.12,0.05,1.23%,4.08,4.17,9452986,390828.03,2.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/10,4.09,4.13,0.01,0.24%,4.04,4.13,7503044,306567,2.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/11,4.12,4,-0.13,-3.15%,3.98,4.12,8135561,328037.78,2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/12,4.01,4.01,0.01,0.25%,3.99,4.06,5426402,218739.64,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/13,4.07,4.11,0.1,2.49%,4.03,4.13,8152888,333018.22,2.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/16,4.21,4.39,0.28,6.81%,4.21,4.44,17792634,772056.69,5.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/17,4.38,4.75,0.36,8.20%,4.35,4.83,24691042,1145603.12,7.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/18,4.75,4.66,-0.09,-1.89%,4.62,4.77,13299576,621877.62,3.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/19,4.69,4.69,0.03,0.64%,4.62,4.81,12833239,605535.88,3.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/20,4.71,4.68,-0.01,-0.21%,4.66,4.83,9419358,446735.72,2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/23,4.76,4.56,-0.12,-2.56%,4.54,4.81,11865097,556048.31,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/24,4.6,4.7,0.14,3.07%,4.48,4.72,9582548,441073.5,2.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/25,4.67,4.74,0.04,0.85%,4.65,4.78,7946674,374022.81,2.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/26,4.78,4.83,0.09,1.90%,4.73,4.89,11781181,567016.12,3.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/27,4.85,4.64,-0.19,-3.93%,4.61,4.85,11744059,553580.38,3.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/30,4.56,4.56,-0.08,-1.72%,4.42,4.59,9668945,436678.31,2.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019/12/31,4.56,4.54,-0.02,-0.44%,4.5,4.62,6249634,284363.72,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
